course number,name,units,schedule,professor
21120,FLCD 300 CRS,6.0,TBA,"SAAMONG, CHARLA ROCHELLA"
21123,FLCD 300 ECT,6.0,TBA,"TONGSON, EXCELSA"
21121,FLCD 300 JFJ,6.0,TBA,"FLORES, JOSEPHINE LOUISE"
21122,FLCD 300 MU,6.0,TBA,"UGADDAN, MIRIAM"
24327,FN 102 HAB,3.0,Th 7-9AM,"PERALTA, JUSTIN GODFRED"
24360,FN 102 TIJ,3.0,T 1-3PM,"PALOMO, KIMBERLY"
24325,FN 102 WAB,3.0,W 7-9AM,"PERALTA, JUSTIN GODFRED"
24362,FN 102 WAB-1,3.0,W 7-9AM,"PALOMO, KIMBERLY"
24328,FN 102 HCDE,0.0,Th 9AM-12PM,"PERALTA, JUSTIN GODFRED"
24361,FN 102 TKLN,0.0,T 3-6PM,"PALOMO, KIMBERLY"
24326,FN 102 WCDE,0.0,W 9AM-12PM,"PERALTA, JUSTIN GODFRED"
24363,FN 102 WCDE-1,0.0,W 9AM-12PM,"PALOMO, KIMBERLY"
24365,FN 110 HBCD,3.0,Th 8-11AM,"PALOMO, KIMBERLY"
24364,FN 110 TBCD,3.0,T 8-11AM,"PALOMO, KIMBERLY"
24340,FN 121 HBCD,3.0,Th 8-11AM,"CABIGAS, CECILE KLAUDINE"
24339,FN 121 TBCD,3.0,T 8-11AM,"CABIGAS, CECILE KLAUDINE"
24343,FN 123 SBCD,4.0,S 8-11AM,"PICO, MARIETONI"
24345,FN 123 TJKL,4.0,T 2-5PM,"TENGCO, LORENA"
24341,FN 123 WDEG,4.0,W 10AM-1PM,"AMARRA, MA SOFIA"
24342,FN 123 FDEG,0.0,F 10AM-1PM,"AMARRA, MA SOFIA"
24346,FN 123 HJKL,0.0,Th 2-5PM,"TENGCO, LORENA"
24344,FN 123 SIJK,0.0,S 1-4PM,"PICO, MARIETONI"
24357,FN 126 WFI,12.0,W 1-5PM,"BAYAGA, CECILE LEAH; TAMPOL, VHEEJAY"
24398,FN 126 WFI-1,4.0,W 1-5PM,"BAYAGA, CECILE LEAH; TAMPOL, VHEEJAY"
24347,FN 131 THB,4.0,TTh 8-9AM,"CALLANTA, LUZ FELICIDAD"
24349,FN 131 THC,4.0,TTh 9-10AM,"CALLANTA, LUZ FELICIDAD"
24351,FN 131 WFB,4.0,WF 8-9AM,"CALLANTA, LUZ FELICIDAD"
24348,FN 131 THJKL,0.0,TTh 2-5PM,"TAOB, MARIA CARMELA"
24350,FN 131 THJKL2,0.0,TTh 2-5PM,"BASILIO, ADRIAN PAUL"
24352,FN 131 WFCDE,0.0,WF 9AM-12PM,"BASILIO, ADRIAN PAUL"
24366,FN 132 THI,4.0,TTh 1-2PM,"FRANCISCO, MARIA LEONORA"
24367,FN 132 THJKL,0.0,TTh 2-5PM,"FRANCISCO, MARIA LEONORA"
24391,FN 134 FJK,3.0,F 2-4PM,"TAOB, MARIA CARMELA"
24393,FN 134 WJKL,3.0,W 2-4PM,"TAOB, MARIA CARMELA"
24392,FN 134 FCDE,0.0,F 9AM-12PM,"TAOB, MARIA CARMELA"
24394,FN 134 FCDE-1,0.0,F 9AM-12PM,"TAOB, MARIA CARMELA"
24353,FN 141.1 MCJ,2.0,M 9AM-12PM lab TBA; M 2-5PM,"BONIFACIO, AIRON ANDREW"
24354,FN 142 WDEG,2.0,W 10AM-12PM,"BONIFACIO, AIRON ANDREW"
24390,FN 176 TCJ,6.0,T 9AM-3PM,"BONIFACIO, AIRON ANDREW"
24358,FN 190 MB,1.0,M 8-9AM,"BAYAGA, CECILE LEAH"
24359,FN 190 MD,1.0,M 10-11AM,"BAYAGA, CECILE LEAH"
24356,FN 199 FJKL,3.0,F 2-5PM,"TENGCO, LORENA"
24355,FN 199 WJKL,3.0,W 2-5PM,"TENGCO, LORENA"
